,state,county,dc,dcV,pop,popV,aadc,aadcV,dcC,dcCV,good,fips,county_lower,test,county_lookup,geojson_lookup,pct_mortality
0,ALABAMA,AUTAUGA,1.0,VALID,64915.0,VALID,1.7,UNRELIABLE,1.5,UNRELIABLE,1,01,Autauga,True,Autauga|01,2971,1.5404760070861895e-05
1,ALABAMA,BALDWIN,15.0,VALID,195253.0,VALID,6.3,UNRELIABLE,7.7,UNRELIABLE,1,01,Baldwin,True,Baldwin|01,838,7.682340348163664e-05
2,ALABAMA,BARBOUR,1.0,VALID,33987.0,VALID,2.6,UNRELIABLE,2.9,UNRELIABLE,1,01,Barbour,True,Barbour|01,2108,2.9423014682084327e-05
3,ALABAMA,BIBB,1.0,VALID,31175.0,VALID,2.9,UNRELIABLE,3.2,UNRELIABLE,1,01,Bibb,True,Bibb|01,965,3.207698476343224e-05
4,ALABAMA,BLOUNT,5.0,VALID,91547.0,VALID,4.8,UNRELIABLE,5.5,UNRELIABLE,1,01,Blount,True,Blount|01,2533,5.461675423552929e-05
5,ALABAMA,BULLOCK,0.0,VALID,8197.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Bullock,True,Bullock|01,1495,0.0
6,ALABAMA,BUTLER,1.0,VALID,31722.0,VALID,2.8,UNRELIABLE,3.2,UNRELIABLE,1,01,Butler,True,Butler|01,1947,3.152386356471849e-05
7,ALABAMA,CALHOUN,12.0,VALID,233021.0,VALID,5.4,UNRELIABLE,5.1,UNRELIABLE,1,01,Calhoun,True,Calhoun|01,2132,5.149750451676029e-05
8,ALABAMA,CHAMBERS,0.0,VALID,57813.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Chambers,True,Chambers|01,2874,0.0
9,ALABAMA,CHEROKEE,0.0,VALID,43828.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Cherokee,True,Cherokee|01,3224,0.0
10,ALABAMA,CHILTON,3.0,VALID,68837.0,VALID,3.8,UNRELIABLE,4.4,UNRELIABLE,1,01,Chilton,True,Chilton|01,424,4.3581213591527814e-05
11,ALABAMA,CHOCTAW,3.0,VALID,22441.0,VALID,11.4,UNRELIABLE,13.4,UNRELIABLE,1,01,Choctaw,True,Choctaw|01,2651,0.0001336838821799385
12,ALABAMA,CLARKE,3.0,VALID,37772.0,VALID,6.7,UNRELIABLE,7.9,UNRELIABLE,1,01,Clarke,True,Clarke|01,2427,7.942391189240707e-05
13,ALABAMA,CLAY,3.0,VALID,26954.0,VALID,8.9,UNRELIABLE,11.1,UNRELIABLE,1,01,Clay,True,Clay|01,426,0.00011130073458484825
14,ALABAMA,CLEBURNE,1.0,VALID,29735.0,VALID,3.1,UNRELIABLE,3.4,UNRELIABLE,1,01,Cleburne,True,Cleburne|01,2815,3.3630401883302503e-05
15,ALABAMA,COFFEE,4.0,VALID,81882.0,VALID,4.4,UNRELIABLE,4.9,UNRELIABLE,1,01,Coffee,True,Coffee|01,438,4.885078527637332e-05
16,ALABAMA,COLBERT,6.0,VALID,104971.0,VALID,4.9,UNRELIABLE,5.7,UNRELIABLE,1,01,Colbert,True,Colbert|01,2475,5.715864381591106e-05
17,ALABAMA,CONECUH,2.0,VALID,20687.0,VALID,7.3,UNRELIABLE,9.7,UNRELIABLE,1,01,Conecuh,True,Conecuh|01,1204,9.667907381447286e-05
18,ALABAMA,COOSA,1.0,VALID,17828.0,VALID,3.8,UNRELIABLE,5.6,UNRELIABLE,1,01,Coosa,True,Coosa|01,1622,5.609154139555755e-05
19,ALABAMA,COVINGTON,3.0,VALID,75990.0,VALID,3.5,UNRELIABLE,3.9,UNRELIABLE,1,01,Covington,True,Covington|01,3099,3.9478878799842084e-05
20,ALABAMA,CRENSHAW,0.0,VALID,24584.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Crenshaw,True,Crenshaw|01,2686,0.0
21,ALABAMA,CULLMAN,8.0,VALID,158886.0,VALID,4.4,UNRELIABLE,5.0,UNRELIABLE,1,01,Cullman,True,Cullman|01,2961,5.035056581448334e-05
22,ALABAMA,DALE,3.0,VALID,103597.0,VALID,3.8,UNRELIABLE,2.9,UNRELIABLE,1,01,Dale,True,Dale|01,556,2.895836752029499e-05
23,ALABAMA,DALLAS,2.0,VALID,51674.0,VALID,3.0,UNRELIABLE,3.9,UNRELIABLE,1,01,Dallas,True,Dallas|01,1240,3.8704183922282e-05
24,ALABAMA,DE.KALB,7.0,VALID,127111.0,VALID,5.1,UNRELIABLE,5.5,UNRELIABLE,1,01,DeKalb,True,DeKalb|01,2120,5.506997820802291e-05
25,ALABAMA,ELMORE,2.0,VALID,90901.0,VALID,2.0,UNRELIABLE,2.2,UNRELIABLE,1,01,Elmore,True,Elmore|01,3221,2.2001958174277512e-05
26,ALABAMA,ESCAMBIA,7.0,VALID,61661.0,VALID,10.0,UNRELIABLE,11.4,UNRELIABLE,1,01,Escambia,True,Escambia|01,1955,0.00011352394544363536
27,ALABAMA,ETOWAH,9.0,VALID,207327.0,VALID,3.5,UNRELIABLE,4.3,UNRELIABLE,1,01,Etowah,True,Etowah|01,1241,4.340968614796915e-05
28,ALABAMA,FAYETTE,4.0,VALID,39067.0,VALID,8.3,UNRELIABLE,10.2,UNRELIABLE,1,01,Fayette,True,Fayette|01,2837,0.00010238820487879796
29,ALABAMA,FRANKLIN,1.0,VALID,64837.0,VALID,1.1,UNRELIABLE,1.5,UNRELIABLE,1,01,Franklin,True,Franklin|01,2251,1.5423292255964957e-05
30,ALABAMA,GENEVA,4.0,VALID,50474.0,VALID,5.4,UNRELIABLE,7.9,UNRELIABLE,1,01,Geneva,True,Geneva|01,3143,7.924872211435591e-05
31,ALABAMA,GREENE,0.0,VALID,5158.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Greene,True,Greene|01,3123,0.0
32,ALABAMA,HALE,0.0,VALID,14462.0,VALID,0.0,UNRELIABLE,0.0,UNRELIABLE,1,01,Hale,True,Hale|01,2453,0.0
33,ALABAMA,HENRY,1.0,VALID,23335.0,VALID,3.0,UNRELIABLE,4.3,UNRELIABLE,1,01,Henry,True,Henry|01,2749,4.285408185129634e-05
34,ALABAMA,HOUSTON,7.0,VALID,146155.0,VALID,4.5,UNRELIABLE,4.8,UNRELIABLE,1,01,Houston,True,Houston|01,1317,4.7894358728746875e-05
35,ALABAMA,JACKSON,6.0,VALID,110987.0,VALID,5.4,UNRELIABLE,5.4,UNRELIABLE,1,01,Jackson,True,Jackson|01,1997,5.4060385450548264e-05
36,ALABAMA,JEFFERSON,53.0,VALID,1014649.0,VALID,4.8,VALID,5.2,VALID,1,01,Jefferson,True,Jefferson|01,2548,5.223481223556126e-05
37,ALABAMA,LAMAR,5.0,VALID,34496.0,VALID,11.3,UNRELIABLE,14.5,UNRELIABLE,1,01,Lamar,True,Lamar|01,928,0.0001449443413729128
38,ALABAMA,LAUDERDALE,9.0,VALID,172735.0,VALID,4.9,UNRELIABLE,5.2,UNRELIABLE,1,01,Lauderdale,True,Lauderdale|01,1283,5.2102932237242016e-05
39,ALABAMA,LAWRENCE,2.0,VALID,61250.0,VALID,3.1,UNRELIABLE,3.3,UNRELIABLE,1,01,Lawrence,True,Lawrence|01,1634,3.265306122448979e-05
40,ALABAMA,LEE,9.0,VALID,158743.0,VALID,7.8,UNRELIABLE,5.7,UNRELIABLE,1,01,Lee,True,Lee|01,2107,5.669541334106071e-05
41,ALABAMA,LIMESTONE,7.0,VALID,109270.0,VALID,6.9,UNRELIABLE,6.4,UNRELIABLE,1,01,Limestone,True,Limestone|01,2937,6.406149903907751e-05
